Original Time Series,Cycle State,next_I_R04_Gripper_Load,next_I_R01_Gripper_Load,next_label,predicted_I_R04_Gripper_Load,predicted_I_R01_Gripper_Load,predicted_label,Instruction1,Output1_from_LLM,Instruction2,Output2_1_from_LLM,Output2_2_from_LLM
[[529. 467. 200.]],8,558,457,NoNose,482.4468,408.25433,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,482.4468,408.25433
[[516. 340. 100.]],9,670,388,Normal,196.54385,266.94617,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,196.54385,266.94617
[[755. 419. 500.]],9,612,374,"NoNose,NoBody2",586.6564,402.9688,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,586.6564,402.9688
[[-1018.   264.   100.]],8,-584,291,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[650. 442. 500.]],10,657,461,"NoNose,NoBody2",651.81555,406.61014,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,651.81555,406.61014
[[964. 395. 100.]],9,-222,325,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[207. 327. 100.]],9,-381,335,Normal,70.41195,224.1351,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,70.41195,224.1351
[[-211.  363.  700.]],19,167,310,"NoNose,NoBody2,NoBody1",25.78007,363.00952,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,25.78007,363.00952
[[-994.  422.  100.]],16,585,404,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-197.  352.  100.]],4,-1123,357,Normal,42.883427,214.7915,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,42.883427,214.7915
[[-889.  360.  100.]],17,-722,353,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-694.  375.  100.]],10,-773,376,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-883.  387.  700.]],20,682,420,"NoNose,NoBody2,NoBody1",26.673557,363.94186,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,26.673557,363.94186
[[486. 415. 100.]],16,148,407,Normal,379.81628,402.5797,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,379.81628,402.5797
[[757. 398. 500.]],21,990,404,Normal,529.1185,399.2735,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,529.1185,399.2735
[[581. 401. 500.]],8,606,420,"NoNose,NoBody2",583.1021,402.24728,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,583.1021,402.24728
[[617. 494. 500.]],20,615,455,"NoNose,NoBody2",607.0909,404.3328,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,607.0909,404.3328
[[790. 367. 100.]],8,1211,363,Normal,82.73503,386.1535,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,82.73503,386.1535
[[-867.  365.  100.]],14,-257,370,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-1204.   351.   100.]],8,647,354,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-687.  375.  100.]],12,676,393,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[596. 431. 100.]],6,636,449,Normal,449.81534,406.45007,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,449.81534,406.45007
[[896. 416. 700.]],8,-984,441,"NoNose,NoBody2,NoBody1",439.86615,387.79642,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,439.86615,387.79642
[[522. 454. 200.]],8,539,474,NoNose,490.20877,408.6835,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,490.20877,408.6835
[[1261.  414.  600.]],6,-1031,350,"NoBody2,NoBody1",29.917265,367.3266,"NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoBody2,NoBody1",What are the next sensor values associated with next time step?,29.917265,367.3266
[[667. 378. 700.]],9,636,394,"NoNose,NoBody2,NoBody1",514.9787,391.51956,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,514.9787,391.51956
[[573. 355. 500.]],8,592,454,"NoNose,NoBody2",537.59247,399.51678,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,537.59247,399.51678
[[1014.  358.  100.]],8,514,377,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[372. 378. 100.]],16,-1195,378,Normal,256.5935,395.76648,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,256.5935,395.76648
[[627. 480. 100.]],4,593,504,Normal,257.42093,287.60876,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,257.42093,287.60876
[[624. 496. 200.]],15,601,482,NoNose,603.67377,414.9572,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,603.67377,414.9572
[[523. 484. 100.]],4,516,494,Normal,263.34515,289.61957,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,263.34515,289.61957
[[646. 183. 100.]],9,667,257,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-1332.   452.   600.]],6,385,438,"NoBody2,NoBody1",30.10167,367.519,"NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoBody2,NoBody1",What are the next sensor values associated with next time step?,30.10167,367.519
[[656. 442. 500.]],20,677,421,"NoNose,NoBody2",658.3777,406.99362,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,658.3777,406.99362
[[-333.  428.  100.]],12,543,397,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-90. 365. 100.]],8,-428,383,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-344.  403.  700.]],8,-1144,413,"NoNose,NoBody2,NoBody1",25.67587,362.9008,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,25.67587,362.9008
[[-482.  348.  100.]],8,532,348,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-521.  432.  700.]],9,658,221,"NoNose,NoBody2,NoBody1",27.0763,364.36212,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,27.0763,364.36212
[[338. 301. 100.]],9,-252,392,Normal,203.46686,269.29596,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,203.46686,269.29596
[[-985.  341.  100.]],8,564,324,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-23. 343. 100.]],9,-1194,344,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-1160.   401.   700.]],13,-113,283,"NoNose,NoBody2,NoBody1",26.261822,363.51224,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,26.261822,363.51224
[[628. 430. 200.]],8,626,426,NoNose,633.97906,416.63284,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,633.97906,416.63284
[[-947.  389.  100.]],9,562,382,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[692. 381. 700.]],9,899,434,"NoNose,NoBody2,NoBody1",516.5291,391.77133,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,516.5291,391.77133
[[605. 437. 200.]],8,622,431,NoNose,626.6336,416.22668,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,626.6336,416.22668
[[876. 326. 100.]],6,-339,373,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-324.  375.  100.]],9,-651,357,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-1149.   407.   100.]],9,-243,421,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[1042.  433.  700.]],8,394,406,"NoNose,NoBody2,NoBody1",301.3186,379.3464,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,301.3186,379.3464
[[647. 319. 700.]],8,649,401,"NoNose,NoBody2,NoBody1",441.82343,386.7696,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,441.82343,386.7696
[[-329.  368.  100.]],6,1074,351,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-668.  391.  700.]],12,501,369,"NoNose,NoBody2,NoBody1",26.704762,363.97443,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,26.704762,363.97443
[[-209.  387.  100.]],4,286,360,Normal,42.883427,214.7915,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,42.883427,214.7915
[[-740.  355.  100.]],8,-957,340,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[593. 463. 200.]],9,625,407,NoNose,598.9696,414.6971,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,598.9696,414.6971
[[610. 398. 700.]],8,717,390,"NoNose,NoBody2,NoBody1",486.7328,389.65927,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,486.7328,389.65927
[[-804.  336.  100.]],9,-974,341,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[618. 457. 200.]],17,606,453,NoNose,630.1898,416.42334,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,630.1898,416.42334
[[877. 207. 700.]],9,1029,350,"NoNose,NoBody2,NoBody1",24.826845,362.01486,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,24.826845,362.01486
[[614. 435. 100.]],5,624,460,Normal,455.65192,406.7728,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,455.65192,406.7728
[[647. 467. 200.]],20,625,454,NoNose,649.5672,417.49475,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,649.5672,417.49475
[[659. 440. 200.]],15,622,455,NoNose,639.50586,416.93845,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,639.50586,416.93845
[[-40. 419. 100.]],13,631,371,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[585. 458. 100.]],5,630,413,Normal,444.43573,406.15265,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,444.43573,406.15265
[[-694.  189.  100.]],8,-410,407,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-955.  435.  100.]],13,178,378,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-857.  359.  100.]],2,-270,338,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[582. 424. 700.]],8,550,345,"NoNose,NoBody2,NoBody1",431.30774,386.13077,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,431.30774,386.13077
[[-1256.   469.   700.]],9,-454,394,"NoNose,NoBody2,NoBody1",26.861988,364.1385,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,26.861988,364.1385
[[-588.  293.  100.]],9,441,363,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[777. 399. 100.]],10,117,379,Normal,190.39801,392.1064,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,190.39801,392.1064
[[-37. 404. 100.]],8,1137,393,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-991.  411.  100.]],14,-1017,423,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[369. 346. 700.]],9,925,360,"NoNose,NoBody2,NoBody1",71.13824,224.3816,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,71.13824,224.3816
[[-689.  373.  100.]],9,-675,407,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[643. 469. 200.]],9,577,435,NoNose,646.3306,417.3158,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,646.3306,417.3158
[[-541.  387.  100.]],14,-847,401,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
